Cluster,Cluster_Name,Cluster_Summary,Number_of_Activities
10,Productive activities,Developing economic alternatives compatible with community well-being and nature conservation.,47
14,Social Investment,Activities aimed at improving living conditions and providing support for social development.,14
11,Governance and Food Security,Strengthen land use planning and mechanisms to guarantee food security for the communities.,35
12,Standardized Benefit Metrics,"Measurement of net estimated emission removals and reductions in the project area, estimated forest loss reduction, and other metrics related to GHG emissions and forest cover.",21
15,"Forego Selling of Property, Then Clearing and Conversion of the Project Areas",Negotiation with landowners to prevent clearing and conversion of the project areas to non-forest land.,58
6,Raise Project Awareness,Engagement with local communities and stakeholders to increase awareness about the project and its objectives. Development of a visitor center to educate visitors about the project.,23
2,Communication,"Creating effective communication and dissemination channels, providing access to information about REDD+, and raising awareness among stakeholders. Includes promoting transparency, community participation, and gender and community inclusion.",25
0,Sustainable Forest Management,"Activities related to sustainable forest management, including forest inventory, harvesting plans, certification, and community involvement.",24
3,Training and equipment of rangers,"Providing training and necessary equipment to rangers to maintain control over the project area and enforce the law, reducing pastoralists' entry, human encroachment, poaching, and illegal timber collection.",6
8,Implementation of sustainable Income Generating Activities (IGAs),"Implementing IGAs to provide livelihood benefits for local communities, diversify the local economy, and decrease dependence on agriculture. IGAs include bee-keeping, agricultural activities (such as sesame, soya farming, and organic cotton production), and financing of microprojects.",31
5,Satellite monitoring and field assessment,Monitor sectors with a risk of invasion using satellite monitoring and field assessments.,24
4,Support pilot sustainable productive initiatives,Support pilot initiatives by surrounding communities to reduce the expansion of agrarian activities and improve livelihood conditions.,29
9,Participate in dialogue spaces and management of Protected Areas,"Engaging in dialogue spaces and contributing to the management of Protected Areas, including the Territorial Reserve Madre de Dios.",13
1,Conserving the region in Amazonas state,Activities focused on conserving the region in Amazonas state,27
13,Partnering with education and research institutions,Collaborating with educational and research institutions to support project goals,18
17,Implementation of SALM activities,"Promoting multiple environmental assets for smallholder farmers in the watershed area, such as improved carbon sequestration, sustainable water management, and livelihoods. Activities include implementing SALM practices such as residue/nutrient management, agronomic practices, and agroforestry.",15
16,Donation of motor boat,Provision of motor boat for community transportation,3
7,"Community Sensitization, Education and Consultation",Engaging with local communities to identify causes of deforestation and raise awareness about the project,28
